263,76
273,138
265,216
268,290
269,367
269,431
270,512
270,584
270,657
270,729
276,799
270,876
270,951
270,1020
269,1091
265,1165
1315,69
1307,210
1313,215
1316,285
1315,355
1315,427
1313,500
1315,573
1315,647
1314,724
1316,793
1314,869
1319,949
1318,1014
1313,1078
1313,1158
389,99
388,243
385,397
384,540
382,684
386,830
384,988
385,1124
1203,96
1203,252
1203,404
1205,540
1202,684
1202,827
1202,989
1205,1123
500,175
497,451
506,738
508,1035
1090,155
1096,455
1092,739
1098,1043
677,317
607,893
962,311
976,897
725,442
845,773
781,634
